# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d008107	Carcinoma, Hepatocellular	MESH:D006528	COMT	1312	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		15341023
d008107	Carcinoma, Hepatocellular	MESH:D006528	COPS5	10987	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		20698225
d008107	Carcinoma, Hepatocellular	MESH:D006528	COX7B2	170712	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CP	1356	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		19229483
d008107	Carcinoma, Hepatocellular	MESH:D006528	CPEB3	22849	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CRHBP	1393	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CRP	1401	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		19363144
d008107	Carcinoma, Hepatocellular	MESH:D006528	CSMD1	64478	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CSPG4	1464	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CSRNP1	64651	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CTNNB1	1499	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism	114550	20118494|21147764|25822088|27738331|28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CTSD	1509	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	CXCL12	6387	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		19363144|28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CXCL14	9547	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CXCL8	3576	Cancer|Digestive system disease	Cancer|Digestive system disease	therapeutic		12432545
